Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
45,"$39,948.00",617,Employed,Master,22,13152,48,Married,2,Own,183,0.3544179188076587,1,2,0.3583355996981915,No,Home,0,29,9,7632.0,1202,146111,19183,3329.0,0.7249720460524032,11,126928,0.199652,0.2275896303554705,419.8059915607372,0.1810771978253941,0,49.0
38,"$39,709.00",628,Employed,Associate,15,26045,48,Single,1,Mortgage,496,0.0878269682003487,5,3,0.330273669928854,No,Debt Consolidation,0,21,9,4627.0,3460,53204,9595,3309.0833333333335,0.9351320992549323,3,43609,0.207045,0.2010771214969362,794.0542382198969,0.3898524480253535,0,52.0
47,"$40,724.00",570,Employed,Bachelor,26,17627,36,,2,Rent,902,0.1374141042375972,2,0,0.2447291091328494,No,Education,0,20,22,886.0,895,25176,128874,3393.6666666666665,0.8722406105782907,6,5205,0.217627,0.2125480098452577,666.4066876774697,0.4621569652325321,0,52.0
58,"$69,084.00",545,Employed,High School,34,37898,96,Single,1,Mortgage,755,0.2675871369453283,2,1,0.4362442650682687,No,Home,0,27,10,1675.0,1217,104822,5370,5757.0,0.8961547069636465,5,99452,0.300398,0.3009108491496013,1047.5069802292967,0.3130983116604649,0,54.0
37,"$103,264.00",594,Employed,Associate,17,9184,36,Married,1,Mortgage,274,0.3205353247385241,0,0,0.0788842122687955,No,Debt Consolidation,0,26,27,1555.0,4981,244305,17286,8605.333333333334,0.9413687393229144,5,227019,0.197184,0.1759901787753283,330.17914048482373,0.0702098474378087,1,36.0
37,"$178,310.00",626,Self-Employed,Master,16,15433,72,Married,0,Rent,732,0.102211336838256,5,1,0.2593664008403899,No,Debt Consolidation,1,16,19,2118.0,1223,67914,40843,14859.166666666666,0.7560793594714331,5,27071,0.217433,0.2176011551228336,385.5770741531959,0.0752112887097658,1,44.0
58,"$51,250.00",564,Employed,High School,39,12741,48,Married,0,Rent,337,0.3673803425383352,6,1,0.1274727031804663,No,Other,0,21,18,5161.0,1735,65624,43894,4270.833333333333,0.8842751265040522,5,21730,0.225741,0.2052709678061031,391.30035166528967,0.1705288628289459,0,50.0
49,"$97,345.00",516,Employed,High School,23,19634,12,Divorced,5,Mortgage,288,0.2097675831677214,5,0,0.3955676351247315,No,Other,0,19,11,781.0,74,50177,11556,8112.083333333333,0.9334924144306608,5,38621,0.226634,0.2091129420982145,1827.3600549751063,0.2607665587313296,1,42.400000000000006
34,"$116,841.00",603,Employed,Bachelor,12,55353,60,Divorced,5,Own,638,0.1927011647841362,3,0,0.3132332595016429,Yes,Debt Consolidation,0,25,29,1157.0,708,29632,49940,9736.75,0.7283969266537559,3,7711,0.258853,0.291539424809367,1762.1990260211653,0.2465092588411087,0,61.0
46,"$40,615.00",612,Employed,,19,25443,12,Married,4,Other,704,0.5124646439687668,3,2,0.5051480267602317,No,Other,0,23,10,1028.0,446,129664,12852,3384.5833333333335,0.6153232100036344,3,116812,0.184443,0.1972706023859007,2353.577423938191,0.9033837027516506,0,53.0
34,"$73,646.00",478,Employed,Associate,10,48716,84,Single,3,Own,267,0.2112359879576895,4,1,0.0814447301385817,No,Auto,0,25,7,9266.0,3875,148966,20315,6137.166666666667,0.6784469665655821,4,128651,0.334716,0.3335388817645363,1504.4524892505112,0.2886433733129584,0,47.0
34,"$15,000.00",591,Employed,Bachelor,11,30088,24,Married,2,Mortgage,295,0.3121837751773506,5,1,0.3466856611903402,No,Home,0,21,28,259.0,348,33062,3353,1250.0,0.8420154706035147,3,29709,0.209588,0.1824011978415739,1505.6095277284012,1.440487622182721,0,56.0
42,"$74,453.00",573,Employed,Bachelor,21,16154,60,Married,1,Rent,258,0.527488434435663,6,0,0.3710335920591852,No,Debt Consolidation,0,26,7,781.0,1633,16204,35493,6204.416666666667,0.7189488829956874,5,5231,0.234654,0.2556845305679195,479.5398903097801,0.1188733655288216,0,56.0
18,"$100,508.00",580,Employed,Associate,0,20439,60,Married,1,Rent,247,0.1686248463190475,5,2,0.5813609803865023,No,Other,1,20,3,2027.0,916,181813,99030,8375.666666666666,0.5437487788048109,6,82783,0.235439,0.245374273754178,594.3815331706401,0.1004554701919019,0,63.0
19,"$47,624.00",597,Employed,Bachelor,0,27197,36,Married,1,Mortgage,196,0.1149665642522752,2,1,0.7515148192746655,No,Debt Consolidation,0,15,21,2971.0,576,45336,9418,3968.6666666666665,0.7199405535105939,3,35918,0.213697,0.2022289217809192,1013.8293748263418,0.3048452985451894,0,58.0
33,"$56,650.00",605,Employed,Doctorate,11,12652,36,Single,1,Mortgage,336,0.4234308630650563,4,0,0.0441568040602275,No,Auto,0,21,15,242.0,131,261435,11144,4720.833333333333,0.8372135908452825,2,250291,0.195152,0.2164127524804118,480.84082795372984,0.1730289485515403,1,33.6
27,"$50,042.00",582,Employed,Doctorate,7,19105,60,Single,1,Rent,680,0.1039191338396645,6,3,0.308869314312398,No,Debt Consolidation,0,36,14,2214.0,1219,11162,89196,4170.166666666667,0.9208669734304104,5,7021,0.233105,0.1871293871402189,492.58144374273706,0.2811833524821718,0,53.0
43,"$142,326.00",644,Employed,Bachelor,24,13499,96,Widowed,2,Mortgage,772,0.2225792308926875,1,2,0.29546987577122,No,Other,0,18,2,13247.0,856,73836,4213,11860.5,0.9710625003288936,5,69623,0.226499,0.2237947653068069,303.1952309300833,0.090653448921216,1,39.2
29,"$16,021.00",553,Employed,High School,8,14655,72,Single,0,Rent,286,0.5560300102027713,5,1,0.1045686898825265,No,Debt Consolidation,1,25,12,8651.0,1127,29278,25345,1335.0833333333333,0.9491878340554412,4,3933,0.253155,0.2347662128605438,381.1768758297885,0.4997267654926323,0,59.0
23,"$34,698.00",594,Employed,Associate,0,14314,60,Widowed,3,Mortgage,755,0.1872028404084978,5,0,0.1005979617163389,No,Debt Consolidation,0,27,29,3721.0,2098,128035,72605,2891.5,0.874070288426121,5,55430,0.222314,0.2314783138154811,404.73508890905856,0.4010842430949536,0,48.0
57,"$106,749.00",630,Employed,Master,30,15698,48,Single,0,Rent,1059,0.1325425984776519,0,1,0.1472796820224425,No,Auto,0,21,14,1686.0,4304,212568,8152,8895.75,0.8543548081496882,4,204416,0.195698,0.2044126918976523,481.3942885517427,0.1731606990474937,1,32.800000000000004
